exac_id,name,permanent
amnhc_5000144,Portrait Sculpture from Africa- The Mysterious and Little Known Art of Ife,FALSE
,Pre-Colombian Objects,FALSE
amnhc_5000145,Pterosaur model,FALSE
amnhc_5000146,Art of the Asmat,FALSE
amnhc_5000147,Doll Collection,FALSE
amnhc_5000148,Satellite,FALSE
amnhc_5000149,"Theodore Roosevelt Park (see also The Museum, 1959)",FALSE
amnhc_5000150,"Shrimps, Lobsters and Crabs: Much Ado About Decapod Crustaceans",FALSE
amnhc_5000151,Byrd,FALSE
amnhc_5000152,Museum Treasure Hunt,FALSE
amnhc_5000153,Folk Art From Rumania,FALSE
amnhc_5000154,"Museum, The",FALSE
amnhc_5000155,Quest for the Divine Mushroom: An Ancient Rite Rediscovered,FALSE
amnhc_5000156,"Roshardt, Pia: Watercolors of wildflowers of Switzerland",FALSE
amnhc_5000157,Sea peoples of the Sulu Archipelago,FALSE
amnhc_5000158,Tibetan exhibit,FALSE
amnhc_5000159,Wildflowers of Switzerland: Watercolors by Pia Roshardt,FALSE
amnhc_5000160,Partners in Discovery,FALSE
,Rumanian Folk Art,FALSE
amnhc_5000162,Darwin exhibit,FALSE
amnhc_5000163,"Fish, Fowl and Fantasy- from the Sketchbooks of Hans Fischer",FALSE
amnhc_5000164,"Lute, Flute and Drum: Musical Instruments Around the World",FALSE
amnhc_5000165,Nigeria Comes of Age,FALSE
amnhc_5000166,Space exhibit,FALSE
amnhc_5000167,Plants of Woodland and Wayside,FALSE
amnhc_5000168,Arctic Riviera,FALSE
amnhc_5000169,Art and Life In Old Peru,FALSE
amnhc_5000170,The Death of the Lake,FALSE
amnhc_5000171,Hummingbirds,FALSE
amnhc_5000172,The Career of Charles R. Knight,FALSE
amnhc_5000173,Man in Space (dupe of expanded exhibit see below),FALSE
amnhc_5000174,Recent Accessions from Africa,FALSE
amnhc_5000175,Preview: Man in Space,FALSE
amnhc_5000176,"Art and life in old Peru *dupe, see above",FALSE
amnhc_5000177,Birds of Greenland,FALSE
amnhc_5000178,Dating The Past with Atoms,FALSE
amnhc_5000179,Partners in Discovery,FALSE
amnhc_5000180,"Keller, Evelyn Miles: Memorial Shell Exhibit",FALSE
amnhc_5000181,Faces and Figures,FALSE
amnhc_5000182,Eskimos – Empire State Building,FALSE
amnhc_5000183,Natural History Illustrated ,FALSE
amnhc_5000184,A Photographer's View of Africa,FALSE
amnhc_5000185,Shorebirds of North America,FALSE
amnhc_5000186,A Stranger in India,FALSE
amnhc_5000187,The World Beneath Our Feet… Minerals,FALSE
amnhc_5000188,New Views of the moon,FALSE
amnhc_5000189,Porcelain exhibit - opening,FALSE
amnhc_5000190,Speaking of animals,FALSE
amnhc_5000191,100 Years of wonder,FALSE
amnhc_5000192,Exhibit of the Month: Bronze sculpture,FALSE
amnhc_5000193,Exhibit of the Month: Manuscript Page of Darwin's Origin of the Species,FALSE
amnhc_5000194,Extinction of brown pelican,FALSE
amnhc_5000195,AMNH Exhibit Hallmark Building,FALSE
amnhc_5000196,Can Man Survive?,FALSE
amnhc_5000197,Baron Friedrich Alexander von Humboldt NOTE: See Additional from DRI,FALSE
amnhc_5000198,Eggs of Threatened Birds           NOTE: See Additional from DRI                       ,FALSE
amnhc_5000199,Design from Nature,FALSE
amnhc_5000200,Stone Toolmaking: Man’s Oldest Craft Recreated,FALSE
amnhc_5000201,Plastic sculpture,FALSE
amnhc_5000202,Building a spider web,FALSE
amnhc_5000203,Exhibit of the Month: Johann Gregor Mendel  Journal ,FALSE
amnhc_5000204,Eastern Bluebird – exhibit of the month,FALSE
amnhc_5000205,Makonde Wood Sculptures,FALSE
amnhc_5000206,Exhibit of the Month: Fish Pollution,FALSE
amnhc_5000207,"Exhibit of the Month: ""Alarm Clock of the Gods""",FALSE
amnhc_5000208,Exhibit of the Month: Lystrosaurus,FALSE
amnhc_5000209,"Bonestall, Chesley: Space Paintings",FALSE
amnhc_5000210,Moon Rock From Apollo 12 Lunar Mission,FALSE
amnhc_5000211,"Nobel Prize Winners, 1970",FALSE
amnhc_5000212,Spider Photographs of Ann Moreton,FALSE
amnhc_5000213,Adaptation to Environment--A Photographic Study of Amphibians and Reptiles,FALSE
amnhc_5000214,American Indian Dance Paintings,FALSE
amnhc_5000215,Life in a Honey Bee Colony,FALSE
amnhc_5000216,Exhibit of the Month: Jade of the Maya,FALSE
amnhc_5000217,Natural history illustrated,FALSE
amnhc_5000218,Exhibit of the Month: Dorothy Doughty Porcelain Birds,FALSE
amnhc_5000219,Arts of the Eskimo,FALSE
amnhc_5000220,Bells,FALSE
amnhc_5000221,Fauna of New Guinea,FALSE
amnhc_5000222,Whales and perfume,FALSE
amnhc_5000223,Chinese Kites,FALSE
amnhc_5000224,Exhibit of the Month: Mammal Stamps from New Guinea,FALSE
amnhc_5000225,Exhibit of the Month: Shells---The Gems of the Oceans,FALSE
amnhc_5000226,Exhibit of the Month: Meteorites--Messengers from Space?,FALSE
amnhc_5000227,Tree-Defoliating Insects,FALSE
amnhc_5000228,Passenger Pigeon and Mourning Dove,FALSE
amnhc_5000229,Boricua--Aqui y Alla (Puerto Ricans: Here and There),FALSE
amnhc_5000230,Exhibit of the Month: A Rainbow of East African Butterflies,FALSE
amnhc_5000231,Poison-Dart Frogs ,FALSE
amnhc_5000232,Costumes of the East,FALSE
amnhc_5000233,And Then There Were None,FALSE
amnhc_5000235,Apollo Lunar Rock   (missing),FALSE
amnhc_5000236,Asian sculpture,FALSE
amnhc_5000237,Great Gull Island,FALSE
amnhc_5000238,Army Ants: a study in social organization,FALSE
amnhc_5000239,Army Ants: a study in social organization (copy?) delete?,FALSE
amnhc_5000240,Lice: A new lease on life for lice,FALSE
amnhc_5000241,"Gold, Frankincense and Myrrh",FALSE
amnhc_5000242,Tibetan-Lamaist Thangkas,FALSE
amnhc_5000243,Our Community,FALSE
amnhc_5000244,Art of Southeast Asia,FALSE
amnhc_5000245,Colorful Scallops: Scampering Butterflies of the Sea,FALSE
amnhc_5000246,Giant African Snails,FALSE
amnhc_5000247,"Lady Bug, Lady Bug",FALSE
amnhc_5000248,Shells: A Pictorial Tribute,FALSE
amnhc_5000249,Never Say Die,FALSE
amnhc_5000250,Crabs,FALSE
amnhc_5000251,Curassows and related tropical birds,FALSE
amnhc_5000252,Daniel Giraud Elliot: A naturalist and his artists,FALSE
amnhc_5000253,Coming Attraction - Comet Kohoutek,FALSE
amnhc_5000254,"Egg, The",FALSE
amnhc_5000255,Man and the Bay: photographs by Arthur Swoger,FALSE
amnhc_5000256,Edward S. Curtis: North American Indian Portraits,FALSE
amnhc_5000257,Marsupials: The Other Mammals,FALSE
amnhc_5000258,Star of Sierra Leone,FALSE
amnhc_5000259,Gem Pocket,FALSE
amnhc_5000260,"Pink Conch, The: Ocean Treasure",FALSE
amnhc_5000261,Roots of Puerto Rico,FALSE
amnhc_5000262,Brazilian Honey Bee Heads North,FALSE
amnhc_5000263,Roaches are Here to Stay,FALSE
amnhc_5000264,Museum Treasures in Needlepoint: works by Nora F. Camman,FALSE
amnhc_5000265,Life and Times of Carl Akeley,FALSE
amnhc_5000266,Greenland: Arctic Denmark,FALSE
,Comet Kohoutek ,FALSE
amnhc_5000267,Vacant lot,FALSE
amnhc_5000268,Jumbo,FALSE
amnhc_5000269,The Nature of Minerals,FALSE
amnhc_5000270,Seeing the Unseen: Below Man's Vision,FALSE
amnhc_5000271,Insects and Us,FALSE
amnhc_5000272,A Half Million Army Ants,FALSE
amnhc_5000273,Pattern for Survival: The Seventeen-Year Cicada,FALSE
amnhc_5000274,Window to the Sea: Lerner Marine Laboratory,FALSE
amnhc_5000275,Where there's Life: Central Park Awakens,FALSE
amnhc_5000276,The Making of a Python,FALSE
amnhc_5000277,Impressions d'Haiti,FALSE
amnhc_5000278,Birds in the Wood,FALSE
amnhc_5000279,Puppets: Dance and Drama of the Orient,FALSE
amnhc_5000280,Cans from a pressured city,FALSE
amnhc_5000281,Children of Africa,FALSE
amnhc_5000282,Contemporary African arts,FALSE
amnhc_5000283,In search of Peking Man,FALSE
amnhc_5000284,Leonardo da Vinci,FALSE
amnhc_5000285,NASA exhibit: Photomosaic of Mars,FALSE
amnhc_5000286,Through the looking glass - camera lens,FALSE
amnhc_5000287,Pterosaur,FALSE
amnhc_5000288,The World in a Hat,FALSE
amnhc_5000289,“This Exhibit in Preparation”,FALSE
amnhc_5000290,Diamonds,FALSE
amnhc_5000291,Return to the Kiukura from Brazil,FALSE
amnhc_5000292,Think twice: Garbage recycling exhibit,FALSE
amnhc_5000293,Trout Flies,FALSE
amnhc_5000294,Recycling America's Resources,FALSE
amnhc_5000295,Is It Real?,FALSE
amnhc_5000296,Subway Art,FALSE
amnhc_5000297,Mongolia - Ornaments from the 19th century,FALSE
amnhc_5000298,Treasures of Cyprus,FALSE
amnhc_5000299,Maps: Their Science and Their Art,FALSE
amnhc_5000300,Reptiles and Amphibians,FALSE
amnhc_5000301,Peru's Golden Treasures,FALSE
amnhc_5000302,"Making of a dinosaur exhibit, The",FALSE
amnhc_5000303,The Sport of Birding ,FALSE
amnhc_5000304,Rails of the World: Paintings by J. Fenwick Lansdowne,FALSE
amnhc_5000305,Nigeria: Art and Everyday Life,FALSE
amnhc_5000306,Ice Age Art,FALSE
amnhc_5000307,Unseen Flowers of the Desert,FALSE
amnhc_5000308,Flight of the Hummingbird ,FALSE
amnhc_5000309,Papua New Guinea: Then and Now,FALSE
amnhc_5000310,Volcano!,FALSE
amnhc_5000311,Pompeii A. D. 79 : 2 folders,FALSE
amnhc_5000312,Dowry Embroideries from Greece,FALSE
amnhc_5000313,Southwest Weaving: The Spanish Tradition,FALSE
amnhc_5000314,Humanity's River: the Hudson,FALSE
amnhc_5000315,Huichol: Art of Being Huichol,FALSE
amnhc_5000316,Nazca: Ancient Nazca Ground Drawings,FALSE
amnhc_5000317,Gold of El Dorado:The Heritage of Colombia,FALSE
amnhc_5000318,"Feather Arts: Beauty, Wealth and Spirit from Five Continents",FALSE
amnhc_5000319,Masks by mail,FALSE
amnhc_5000320,Audubon,FALSE
amnhc_5000321,Profiles of the Past: Three Southwest Canyons,FALSE
amnhc_5000322,Museum Photography: Rareties from the Photo Collection,FALSE
amnhc_5000323,Indian Puppets,FALSE
amnhc_5000324,Chinese Puppets,FALSE
amnhc_5000325,Bedouin tent,FALSE
amnhc_5000326,"Evolution, Darwin and the Beagle",FALSE
amnhc_5000327,Glories of the sea: the Munyan collection of cone shells,FALSE
amnhc_5000328, Through the looking glass: a history of microscopes,FALSE
amnhc_5000329,Glories of the seas: Munyan collection of cone shells: ,FALSE
amnhc_5000337,Gossamer Albatross,FALSE
amnhc_5000330,Through the looking glass – a history of microscopes,FALSE
amnhc_5000339,"Joseph Wolf, Natural History Illustrator",FALSE
amnhc_5000338,Patterns of Paradise,FALSE
amnhc_5000331,Afro-American Arts of the Suriname Rain Forest,FALSE
amnhc_5000332,Hopi Kachina: Spirit of Life,FALSE
amnhc_5000333,"Traditional Japanese Designs in Stencils, Textiles, Costumes",FALSE
amnhc_5000334,The Story of Diamonds:  The Rainbow Gem Collection,FALSE
amnhc_5000335,Traditions of Saudi Arabia,FALSE
amnhc_5000336,Shakespeare: The Globe and the World,FALSE
amnhc_5000340,Annual amateur photo exhibit,FALSE
amnhc_5000341,Objects of bright pride,FALSE
amnhc_5000342,Turtle exhibit in the Rotunda,FALSE
amnhc_5000343,Afro-American Arts of the Suriname Rain Forest,FALSE
amnhc_5000344,Star Gods of the Ancient Americas,FALSE
amnhc_5000345,Aztec Mexico: Discovery of Templo Mayor,FALSE
amnhc_5000346,Confiscated!,FALSE
amnhc_5000347,Champions of American Sport                                              ,FALSE
amnhc_5000348,1982 Photographic Competition of Natural History Magazine,FALSE
amnhc_5000358,Deep Ocean Photography,FALSE
amnhc_5000359,Exploring the Deep Frontier: The Adventure of Man in the Sea,FALSE
amnhc_5000360,New Frontier of Life,FALSE
amnhc_5000356,Warhol's Animals: Species at Risk,FALSE
amnhc_5000357,"A Flowering of Science: Plants from Captain Cook’s 1st voyage, 1768-1771",FALSE
amnhc_5000361,Wethersfield Meteorites,FALSE
amnhc_5000349,"Roosevelt, Theodore",FALSE
amnhc_5000350,African Textiles,FALSE
amnhc_5000351,Celebration of Birds: Louis Agassiz Fuertes and His Art ,FALSE
amnhc_5000352,Great Auk in Illustrated Bird Books,FALSE
amnhc_5000353,"Jaques, Francis Lee: Artist and Naturalist",FALSE
amnhc_5000354,Alexander Wilson: American Ornithology,FALSE
amnhc_5000355,South of Winter: Scenes from the Arkansas Wildlife Refuge,FALSE
amnhc_5000364,Ancestors: Four Million Years of Humanity,FALSE
amnhc_5000365,"Peonies of Greece: Myth, Science and Art",FALSE
amnhc_5000368,"Asante: Kingdom of Gold, file 1",FALSE
amnhc_5000369,"Asante: Kingdom of Gold, file2",FALSE
amnhc_5000370,"Asante: Kingdom of Gold – Photographs,  file3",FALSE
amnhc_5000371,"Asante: Kingdom of Gold - Grant Proposal, file 4",FALSE
amnhc_5000367,Ban Chiang: Discovery of a Lost Bronze Age,FALSE
amnhc_5000366, Titian Ramsey Peale: 1799-1855,FALSE
amnhc_5000362,Bicycles and dragons,FALSE
amnhc_5000363,Silk Roads/China Ships,FALSE
amnhc_5000381,Captured Motion: Skeletal Studies by S. Harmsted Chubb,FALSE
amnhc_5000377,Mountain of the Mist,FALSE
amnhc_5000378,Maya: Treasures of an Ancient Civilization,FALSE
amnhc_5000379,"Audubon, John James: Science into Art",FALSE
amnhc_5000382,New York's Forest Preserve: A Celebration of Wilderness  ,FALSE
amnhc_5000383,Moving a Museum: The Rothschild Bird Collection,FALSE
amnhc_5000380,Collector's Choice: Seashells of Nathan L. Halpern,FALSE
amnhc_5000384,Masterpieces of the American West: The Anschutz Collection,FALSE
amnhc_5000372,Art of Cameroon,FALSE
amnhc_5000373,Chinese Dinosaurs,FALSE
amnhc_5000374,Lost and Found Traditions: Native American Art 1965-1985,FALSE
amnhc_5000375,"Tiger, Tiger Burning Bright: An Indian Wildlife Portfolio",FALSE
amnhc_5000376,Vijayanagara: Where kings and gods meet,FALSE
amnhc_5000393,Cuzco: Photographs by Luis Delgado,FALSE
amnhc_5000394,"Yanomamo Ritual Symbols, work by Gypsy Alcala",FALSE
amnhc_5000387,"Gypsies: Photographs by Jan Yoors, 1930’s – 1970’s",FALSE
amnhc_5000392,"Wolves and Humans: Coexistence, Competition and Conflict",FALSE
amnhc_5000388,"Dark Caves, Bright Visions: Life in Ice Age Europe",FALSE
amnhc_5000390,Benares: City of Light,FALSE
amnhc_5000389,Ladies in the Field,FALSE
amnhc_5000391,On Tap: New York's Water Supply,FALSE
amnhc_5000385,Brazilian princess - largest cut gem in the world,FALSE
amnhc_5000386,Origami,FALSE
amnhc_5000395,Dinosaurs past and present,FALSE
amnhc_5000396,Giant panda,FALSE
amnhc_5000397,Ancient Eskimo Ivories of the Bering Strait,FALSE
amnhc_5000398,Architecture for Dinosaurs,FALSE
amnhc_5000399,The Chaco Phenomenon,FALSE
amnhc_5000400,The World's Oldest Turtle,FALSE
amnhc_5000401,Carthage: A Mosaic of Ancient Tunisia,FALSE
amnhc_5000402,Fossil bee,FALSE
amnhc_5000403,Bronx High School of Science,FALSE
amnhc_5000404,In Time of Plague,FALSE
amnhc_5000405,The Wheel of Time Sand Mandala,FALSE
amnhc_5000406,Korea: The Once and Future,FALSE
amnhc_5000407,Crossroads of Continents: Cultures of Siberia and Alaska,FALSE
amnhc_5000408,From the Land of the Dragons,FALSE
amnhc_5000409,Tiffany: 100 Years of Gems and Jewelry,FALSE
amnhc_5000410,In the Realm of the Wild: The Art of  Bruno Liljefors of Sweden,FALSE
amnhc_5000411,"Magnificent Voyagers: The U. S. Exploring Expedition, 1838-1842",FALSE
amnhc_5000412,Drawn from the Sea: Art in the Service of Ichthyology,FALSE
amnhc_5000413,"Knight, Charles Robert: paintings",FALSE
amnhc_5000414,The Far Side of Science,FALSE
amnhc_5000415,Madagascar: Island of the Ancestors,FALSE
amnhc_5000416,Nature of New York City: Photographs by the Sierra Club,FALSE
amnhc_5000417,Oceanic Birds of South America,FALSE
amnhc_5000418,Tibetan Butter Sculpture,FALSE
amnhc_5000419,Palms and Pomegranates : Traditional Dress of Saudi Arabia,FALSE
amnhc_5000420,Meso-America: A Cultural Record,FALSE
amnhc_5000421,Akeley method,FALSE
amnhc_5000422,Treasures of the tar pits,FALSE
amnhc_5000423,Back to the Gobi,FALSE
amnhc_5000424,Behind the Scenes: Gallery 77,FALSE
amnhc_5000425,African Reflections: Art from Northeastern Zaire,FALSE
amnhc_5000426,Black Achievers in Science,FALSE
amnhc_5000427,Arctic Art: The Harry Goldsmith Collection of Inuit Sculptures,FALSE
amnhc_5000428,Asmat wood carving exhibit,FALSE
amnhc_5000429,Hidden beauty,FALSE
amnhc_5000430,Rain forest,FALSE
amnhc_5000431,Rare book room: last exhibit,FALSE
amnhc_5000432,Tibetan photographs,FALSE
amnhc_5000433,The Way to Independence: Memories of a Hitdatsa Indian Family,FALSE
amnhc_5000434, Pre- Hispanic Foods of Mexico,FALSE
amnhc_5000435,Tropical Rainforests: A Disappearing Treasure,FALSE
amnhc_5000436,Tibet at the AMNH,FALSE
amnhc_5000437,Chiefly Feasts: The Enduring Kwakiutl Potlatch,FALSE
amnhc_5000438,The Streets of Dai Fau: Arnold Genthe’s Photographs of San Francisco’s Old Chinatown,FALSE
amnhc_5000439,American wilderness,FALSE
amnhc_5000440,Birds in art,FALSE
amnhc_5000441,"Knight, Charles Robert: Early mammals",FALSE
amnhc_5000442,Global Warming: Understanding the Forecast,FALSE
amnhc_5000443, Santana Fossils,FALSE
amnhc_5000444,Star Trek (no folder),FALSE
amnhc_5000445,Amazon Portrait: Indios e Caboclos,FALSE
amnhc_5000446,Waurá: Drawings of the Waura Indians,FALSE
amnhc_5000447,Jumbo: The World Famous Elephant,FALSE
amnhc_5000448,This is the American Earth,FALSE
amnhc_5000449,"The Pantanal, The: Brazil's Forgotten Wilderness",FALSE
amnhc_5000450,The Dinosaurs of Jurassic Park,FALSE
amnhc_5000451,Bears: Imagination and Reality,FALSE
amnhc_5000452,Antarctica,FALSE
amnhc_5000453,Cuba: Nature of an Island,FALSE
amnhc_5000454,British wildlife photo exhibit,FALSE
amnhc_5000455,Sharks! Fact and Fantasy,FALSE
amnhc_5000456,Royal Tombs of Sipan,FALSE
amnhc_5000457,Empires Beyond the Great Wall: The Heritage of Genghis Kahn,FALSE
amnhc_5000458,Expedition: Treasures from 125 years of Discovery,FALSE
amnhc_5000459,Electronic newspaper,FALSE
amnhc_5000460,People and places,FALSE
amnhc_5000461,To the Ends of the Earth: Fossil Discoveries from AMNH,FALSE
amnhc_5000462,Spiders,FALSE
amnhc_5000463,Jews of Yemen,FALSE
amnhc_5000464,Art in the Service of Science: The Zoological Society of London,FALSE
amnhc_5000465,Planet Peru,FALSE
amnhc_5000466,Pow wow now,FALSE
amnhc_5000467,Up in Central Park,FALSE
amnhc_5000468,Up in Central Park,FALSE
amnhc_5000469,"Scientists and Journalists-One Story, Two Voices: A Century of Science Reporting in the NY Times",FALSE
amnhc_5000470,Endangered! Exploring a World at Risk,FALSE
amnhc_5000471,Amber: Window to the past,FALSE
amnhc_5000472,Purposeful Traveler: Titian Ramsey Peale,FALSE
amnhc_5000473,Martian Meteorites and Space Probes,FALSE
amnhc_5000474,Leonardo's Codex Leicester: A Masterpiece of Science,FALSE
amnhc_5000475,Extinct!,FALSE
amnhc_5000476,Okavango: Africa’s last Eden,FALSE
amnhc_5000477,Dzanga-Ndoki Rainforest: The Making of an Exhibition,FALSE
amnhc_5000478,Endangered! Exploring a World at Risk,FALSE
